constituency_name,region_name,country_name,constituency_type,electorate,valid_votes,invalid_votes,con,lab,ld,ukip,green,snp,pc,dup,sf,sdlp,uup,alliance,other
Aberavon,Wales,Wales,County,49892,33268,57,5901,22662,599,1345,0,0,2761,0,0,0,0,0,0
Aberconwy,Wales,Wales,County,45251,32150,78,14337,13702,941,0,0,0,3170,0,0,0,0,0,0
Aberdeen North,Scotland,Scotland,Borough,62130,36757,55,8341,11031,1693,0,0,15170,0,0,0,0,0,0,522
Aberdeen South,Scotland,Scotland,Borough,64964,44493,63,18746,9143,2610,0,0,13994,0,0,0,0,0,0,0
Airdrie and Shotts,Scotland,Scotland,County,64146,38002,47,8813,14096,802,0,0,14291,0,0,0,0,0,0,0
Aldershot,South East,England,Borough,76205,48950,102,26950,15477,3637,1796,1090,0,0,0,0,0,0,0,0
Aldridge-Brownhills,West Midlands,England,Borough,60363,40235,87,26317,12010,1343,0,0,0,0,0,0,0,0,0,565
Altrincham and Sale West,North West,England,Borough,73226,52790,132,26933,20507,4051,0,1000,0,0,0,0,0,0,0,299
Alyn and Deeside,Wales,Wales,County,63013,44760,84,18080,23315,1077,1117,0,0,1171,0,0,0,0,0,0
Amber Valley,East Midlands,England,County,68065,45811,99,25905,17605,1100,0,650,0,0,0,0,0,0,0,551
Angus,Scotland,Scotland,County,63840,40192,65,18148,5233,1308,0,0,15503,0,0,0,0,0,0,0
Arfon,Wales,Wales,County,41367,28208,67,4614,11427,648,0,0,0,11519,0,0,0,0,0,0
Argyll and Bute,Scotland,Scotland,County,67230,48069,69,15976,6044,8745,0,0,17304,0,0,0,0,0,0,0
Arundel and South Downs,South East,England,County,79478,60256,154,37573,13690,4783,1668,2542,0,0,0,0,0,0,0,0
Ashfield,East Midlands,England,County,78076,49993,62,20844,21285,969,1885,398,0,0,0,0,0,0,0,4612
Ashford,South East,England,County,87387,59879,135,35318,17840,3101,2218,1402,0,0,0,0,0,0,0,0
Ashton-Under-Lyne,North West,England,Borough,67674,39773,81,12710,24005,646,1878,534,0,0,0,0,0,0,0,0
Aylesbury,South East,England,County,82546,58783,122,32313,17657,5660,1296,1237,0,0,0,0,0,0,0,620
"Ayr, Carrick and Cumnock",Scotland,Scotland,County,71241,46222,74,18550,11024,872,0,0,15776,0,0,0,0,0,0,0
Banbury,South East,England,County,83824,61562,115,33388,20989,3452,1581,1225,0,0,0,0,0,0,0,927
Banff and Buchan,Scotland,Scotland,County,67601,41643,46,19976,3936,1448,0,0,16283,0,0,0,0,0,0,0
Barking,London,England,Borough,77022,47679,103,10711,32319,599,3031,724,0,0,0,0,0,0,0,295
Barnsley Central,Yorkshire and The Humber,England,Borough,64204,39087,66,9436,24982,549,3339,570,0,0,0,0,0,0,0,211
Barnsley East,Yorkshire and The Humber,England,County,69214,40776,91,10997,24280,750,3247,0,0,0,0,0,0,0,0,1502
Barrow and Furness,North West,England,County,69474,47590,60,22383,22592,1278,962,375,0,0,0,0,0,0,0,0
Basildon and Billericay,East,England,Borough,69149,44918,121,27381,13981,1548,2008,0,0,0,0,0,0,0,0,0
Basingstoke,South East,England,Borough,81875,55960,138,29510,20044,3406,1681,1106,0,0,0,0,0,0,0,213
Bassetlaw,East Midlands,England,County,78540,52250,127,22615,27467,1154,0,0,0,0,0,0,0,0,0,1014
Bath,South West,England,Borough,66778,49583,112,17742,7279,23436,0,1126,0,0,0,0,0,0,0,0
Batley and Spen,Yorkshire and The Humber,England,Borough,80161,53780,128,20883,29844,1224,0,695,0,0,0,0,0,0,0,1134
Battersea,London,England,Borough,77574,55058,112,22876,25292,4401,357,866,0,0,0,0,0,0,0,1266
Beaconsfield,South East,England,County,77524,56028,109,36559,12016,4448,1609,1396,0,0,0,0,0,0,0,0
Beckenham,London,England,Borough,67925,51630,182,30632,15545,4073,0,1380,0,0,0,0,0,0,0,0
Bedford,East,England,Borough,71829,48480,176,21923,22712,2837,0,1008,0,0,0,0,0,0,0,0
Belfast East,Northern Ireland,Northern Ireland,Borough,63495,42890,93,446,0,0,0,561,0,0,23917,894,167,1408,15443,54
Belfast North,Northern Ireland,Northern Ireland,Borough,68249,45936,158,0,0,0,0,644,0,0,21240,19159,2058,0,2475,360
Belfast South,Northern Ireland,Northern Ireland,Borough,66105,43705,130,246,0,0,0,2241,0,0,13299,7143,11303,1527,7946,0
Belfast West,Northern Ireland,Northern Ireland,Borough,62423,40633,190,0,0,0,0,0,0,0,5455,27107,2860,0,731,4480
Bermondsey and Old Southwark,London,England,Borough,87282,58521,148,7581,31161,18189,838,639,0,0,0,0,0,0,0,113
"Berwickshire, Roxburgh and Selkirk",Scotland,Scotland,County,73191,52367,96,28213,4519,2482,0,0,17153,0,0,0,0,0,0,0
Berwick-Upon-Tweed,North East,England,County,58807,42212,79,22145,10364,8916,0,787,0,0,0,0,0,0,0,0
Bethnal Green and Bow,London,England,Borough,86075,59825,275,7576,42969,2982,894,1516,0,0,0,0,0,0,0,3888
Beverley and Holderness,Yorkshire and The Humber,England,County,80657,55638,184,32499,18457,2808,0,716,0,0,0,0,0,0,0,1158
Bexhill and Battle,South East,England,County,81331,59472,102,36854,14689,4485,2006,1438,0,0,0,0,0,0,0,0
Bexleyheath and Crayford,London,England,Borough,65315,45189,92,25113,16040,1201,1944,601,0,0,0,0,0,0,0,290
Birkenhead,North West,England,Borough,64484,43663,108,8044,33558,1118,0,943,0,0,0,0,0,0,0,0
"Birmingham, Edgbaston",West Midlands,England,Borough,68091,43612,108,17207,24124,1564,0,562,0,0,0,0,0,0,0,155
"Birmingham, Erdington",West Midlands,England,Borough,65067,37217,112,14286,21571,750,0,610,0,0,0,0,0,0,0,0
"Birmingham, Hall Green",West Midlands,England,Borough,78271,54310,187,8199,42143,3137,0,831,0,0,0,0,0,0,0,0
"Birmingham, Hodge Hill",West Midlands,England,Borough,75698,46394,159,6580,37606,805,1016,387,0,0,0,0,0,0,0,0
"Birmingham, Ladywood",West Midlands,England,Borough,70023,41307,155,5452,34166,1156,0,533,0,0,0,0,0,0,0,0
"Birmingham, Northfield",West Midlands,England,Borough,72322,44348,151,18929,23596,959,0,864,0,0,0,0,0,0,0,0
"Birmingham, Perry Barr",West Midlands,England,Borough,70106,44197,164,11726,30109,1080,0,591,0,0,0,0,0,0,0,691
"Birmingham, Selly Oak",West Midlands,England,Borough,74370,48985,138,15629,30836,1644,0,876,0,0,0,0,0,0,0,0
"Birmingham, Yardley",West Midlands,England,Borough,72581,44502,103,8824,25398,7984,1916,280,0,0,0,0,0,0,0,100
Bishop Auckland,North East,England,County,67661,43281,78,20306,20808,1176,0,0,0,0,0,0,0,0,0,991
Blackburn,North West,England,Borough,70664,47515,187,12780,33148,709,0,0,0,0,0,0,0,0,0,878
Blackley and Broughton,North West,England,Borough,71648,40113,101,8657,28258,737,1825,462,0,0,0,0,0,0,0,174
Blackpool North and Cleveleys,North West,England,Borough,63967,41007,59,20255,18232,747,1392,381,0,0,0,0,0,0,0,0
Blackpool South,North West,England,Borough,58470,34953,44,15058,17581,634,1339,341,0,0,0,0,0,0,0,0
Blaenau Gwent,Wales,Wales,County,51227,32384,35,4783,18787,295,973,0,0,6880,0,0,0,0,0,666
Blaydon,North East,England,Borough,68459,48084,64,13502,26979,4366,2459,583,0,0,0,0,0,0,0,195
Blyth Valley,North East,England,Borough,63415,42490,70,15855,23770,1947,0,918,0,0,0,0,0,0,0,0
Bognor Regis and Littlehampton,South East,England,County,75827,51352,98,30276,12782,3352,1861,993,0,0,0,0,0,0,0,2088
Bolsover,East Midlands,England,County,73429,46519,107,18865,24153,1372,2129,0,0,0,0,0,0,0,0,0
Bolton North East,North West,England,Borough,67233,45183,90,19073,22870,1316,1567,357,0,0,0,0,0,0,0,0
Bolton South East,North West,England,Borough,68886,42323,97,12550,25676,781,2779,537,0,0,0,0,0,0,0,0
Bolton West,North West,England,County,72797,51054,81,24459,23523,1485,1587,0,0,0,0,0,0,0,0,0
Bootle,North West,England,Borough,72872,50288,163,6059,42259,837,0,709,0,0,0,0,0,0,0,424
Boston and Skegness,East Midlands,England,County,68402,42879,92,27271,10699,771,3308,547,0,0,0,0,0,0,0,283
Bosworth,East Midlands,England,County,81661,56168,133,31864,13513,9744,0,1047,0,0,0,0,0,0,0,0
Bournemouth East,South West,England,Borough,74591,48618,115,25221,17284,3168,1405,1236,0,0,0,0,0,0,0,304
Bournemouth West,South West,England,Borough,73195,44507,147,23812,16101,2929,0,1247,0,0,0,0,0,0,0,418
Bracknell,South East,England,County,79199,55892,146,32882,16866,4186,1521,0,0,0,0,0,0,0,0,437
Bradford East,Yorkshire and The Humber,England,Borough,70389,45622,78,9291,29831,843,1372,289,0,0,0,0,0,0,0,3996
Bradford South,Yorkshire and The Humber,England,Borough,67752,41049,62,15664,22364,516,1758,370,0,0,0,0,0,0,0,377
Bradford West,Yorkshire and The Humber,England,Borough,67568,45528,221,7542,29444,712,885,481,0,0,0,0,0,0,0,6464
Braintree,East,England,County,75316,52326,74,32873,14451,2251,1835,916,0,0,0,0,0,0,0,0
Brecon and Radnorshire,Wales,Wales,County,56010,41334,63,20081,7335,12043,576,0,0,1299,0,0,0,0,0,0
Brent Central,London,England,Borough,80499,52296,199,10211,38208,2519,556,802,0,0,0,0,0,0,0,0
Brentford and Isleworth,London,England,Borough,85164,61629,156,23182,35364,3083,0,0,0,0,0,0,0,0,0,0
Brent North,London,England,Borough,82567,56444,203,18435,35496,1614,0,660,0,0,0,0,0,0,0,239
Brentwood and Ongar,East,England,County,75067,52910,107,34811,10809,4426,1845,915,0,0,0,0,0,0,0,104
Bridgend,Wales,Wales,County,62185,43255,55,17213,21913,919,781,0,0,1783,0,0,0,0,0,646
Bridgwater and West Somerset,South West,England,County,89294,58267,131,32111,16663,6332,2102,1059,0,0,0,0,0,0,0,0
Brigg and Goole,Yorkshire and The Humber,England,County,66069,45057,60,27219,14856,836,1596,550,0,0,0,0,0,0,0,0
"Brighton, Kemptown",South East,England,Borough,67893,49207,154,18835,28703,1457,0,0,0,0,0,0,0,0,0,212
"Brighton, Pavilion",South East,England,Borough,75486,57687,154,11082,15450,0,630,30149,0,0,0,0,0,0,0,376
Bristol East,South West,England,Borough,72415,50799,133,17453,30847,1389,0,1110,0,0,0,0,0,0,0,0
Bristol North West,South West,England,Borough,75434,54096,132,22639,27400,2814,0,1243,0,0,0,0,0,0,0,0
Bristol South,South West,England,Borough,83012,54382,112,16679,32666,1821,1672,1428,0,0,0,0,0,0,0,116
Bristol West,South West,England,Borough,93003,71608,174,9877,47213,5201,0,9216,0,0,0,0,0,0,0,101
Broadland,East,England,County,77334,55971,104,32406,16590,4449,1594,932,0,0,0,0,0,0,0,0
Bromley and Chislehurst,London,England,Borough,65117,46662,119,25175,15585,3369,1383,1150,0,0,0,0,0,0,0,0
Bromsgrove,West Midlands,England,County,73571,54040,206,33493,16920,2488,0,1139,0,0,0,0,0,0,0,0
Broxbourne,East,England,Borough,73502,47485,102,29515,13723,1481,1918,848,0,0,0,0,0,0,0,0
Broxtowe,East Midlands,England,County,74013,55508,120,25983,25120,2247,1477,681,0,0,0,0,0,0,0,0
Buckingham,South East,England,County,79615,52679,1967,0,0,0,4168,8574,0,0,0,0,0,0,0,39937
Burnley,North West,England,Borough,64709,40290,63,12479,18832,6046,2472,461,0,0,0,0,0,0,0,0
Burton,West Midlands,England,County,73954,49911,143,28936,18889,1262,0,824,0,0,0,0,0,0,0,0
Bury North,North West,England,Borough,67580,47903,156,21308,25683,912,0,0,0,0,0,0,0,0,0,0
Bury South,North West,England,Borough,73715,50990,123,21200,27165,1065,1316,0,0,0,0,0,0,0,0,244
Bury St Edmunds,East,England,County,86071,62160,152,36794,18353,3565,0,2596,0,0,0,0,0,0,0,852
Caerphilly,Wales,Wales,County,64381,41297,83,10413,22491,725,1259,447,0,5962,0,0,0,0,0,0
"Caithness, Sutherland and Easter Ross",Scotland,Scotland,County,46868,30901,35,6990,3833,11061,0,0,9017,0,0,0,0,0,0,0
Calder Valley,Yorkshire and The Humber,England,County,79045,58054,115,26790,26181,1952,1466,631,0,0,0,0,0,0,0,1034
Camberwell and Peckham,London,England,Borough,85613,57412,236,7349,44665,3413,0,1627,0,0,0,0,0,0,0,358
Camborne and Redruth,South West,England,County,68419,48456,93,23001,21424,2979,0,1052,0,0,0,0,0,0,0,0
Cambridge,East,England,Borough,78544,55934,135,9133,29032,16371,0,1265,0,0,0,0,0,0,0,133
Cannock Chase,West Midlands,England,County,74540,47872,78,26318,17927,794,2018,815,0,0,0,0,0,0,0,0
Canterbury,South East,England,County,78182,56800,178,25385,25572,4561,0,1282,0,0,0,0,0,0,0,0
Cardiff Central,Wales,Wales,Borough,59288,40367,80,7997,25193,5415,343,420,0,999,0,0,0,0,0,0
Cardiff North,Wales,Wales,Borough,67221,52022,98,21907,26081,1714,582,0,0,1738,0,0,0,0,0,0
Cardiff South and Penarth,Wales,Wales,Borough,76499,50736,107,15318,30182,1430,942,532,0,2162,0,0,0,0,0,170
Cardiff West,Wales,Wales,Borough,66775,46629,89,13874,26425,1214,698,0,0,4418,0,0,0,0,0,0
Carlisle,North West,England,County,62294,43056,88,21472,18873,1256,1455,0,0,0,0,0,0,0,0,0
Carmarthen East and Dinefwr,Wales,Wales,County,55976,41029,45,10778,12219,920,985,0,0,16127,0,0,0,0,0,0
Carmarthen West and South Pembrokeshire,Wales,Wales,County,58565,42226,65,19771,16661,956,905,0,0,3933,0,0,0,0,0,0
Carshalton and Wallington,London,England,Borough,70849,50753,97,19450,9360,20819,0,501,0,0,0,0,0,0,0,623
Castle Point,East,England,Borough,69470,44710,87,30076,11204,1049,2381,0,0,0,0,0,0,0,0,0
Central Ayrshire,Scotland,Scotland,County,68999,45087,75,15504,11762,1050,0,0,16771,0,0,0,0,0,0,0
Central Devon,South West,England,County,74370,57844,84,31278,15598,6770,1326,1531,0,0,0,0,0,0,0,1341
Central Suffolk and North Ipswich,East,England,County,78116,56524,113,33992,16807,2431,1635,1659,0,0,0,0,0,0,0,0
Ceredigion,Wales,Wales,County,54262,39767,52,7307,8017,11519,602,542,0,11623,0,0,0,0,0,157
Charnwood,East Midlands,England,County,78071,55176,115,33318,16977,2052,1471,1036,0,0,0,0,0,0,0,322
Chatham and Aylesford,South East,England,County,70419,44890,73,25587,15129,1116,2225,573,0,0,0,0,0,0,0,260
Cheadle,North West,England,Borough,73406,54572,117,24331,10417,19824,0,0,0,0,0,0,0,0,0,0
Chelmsford,East,England,Borough,81032,56860,103,30525,16953,6916,1645,821,0,0,0,0,0,0,0,0
Chelsea and Fulham,London,England,Borough,63728,42128,126,22179,13991,4627,524,807,0,0,0,0,0,0,0,0
Cheltenham,South West,England,Borough,78878,57012,107,26615,5408,24046,0,943,0,0,0,0,0,0,0,0
Chesham and Amersham,South East,England,County,71654,55252,136,33514,11374,7179,1525,1660,0,0,0,0,0,0,0,0
Chesterfield,East Midlands,England,Borough,72069,47927,74,16661,26266,2612,1611,777,0,0,0,0,0,0,0,0
Chichester,South East,England,County,84991,59918,129,36032,13411,6749,1650,1992,0,0,0,0,0,0,0,84
Chingford and Woodford Green,London,England,County,65958,46961,170,23076,20638,2043,0,1204,0,0,0,0,0,0,0,0
Chippenham,South West,England,County,76432,57140,210,31267,11236,14637,0,0,0,0,0,0,0,0,0,0
Chipping Barnet,London,England,Borough,77218,55423,204,25679,25326,3012,0,1406,0,0,0,0,0,0,0,0
Chorley,North West,England,County,76404,55634,134,23233,30745,1126,0,530,0,0,0,0,0,0,0,0
Christchurch,South West,England,County,70309,50634,161,35230,10059,4020,0,1325,0,0,0,0,0,0,0,0
Cities Of London and Westminster,London,England,Borough,61533,38654,133,18005,14857,4270,426,821,0,0,0,0,0,0,0,275
City Of Chester,North West,England,County,72859,56421,144,22847,32023,1551,0,0,0,0,0,0,0,0,0,0
City Of Durham,North East,England,County,71132,48324,86,14408,26772,4787,1116,797,0,0,0,0,0,0,0,444
Clacton,East,England,County,69263,44145,73,27031,11203,887,3357,719,0,0,0,0,0,0,0,948
Cleethorpes,Yorkshire and The Humber,England,County,72711,47844,79,27321,16921,1110,2022,470,0,0,0,0,0,0,0,0
Clwyd South,Wales,Wales,County,53729,37474,56,14646,19002,731,802,0,0,2293,0,0,0,0,0,0
Clwyd West,Wales,Wales,County,58263,40654,79,19541,16104,1091,0,0,0,3918,0,0,0,0,0,0
"Coatbridge, Chryston and Bellshill",Scotland,Scotland,Borough,71198,45040,79,7318,19193,922,0,0,17607,0,0,0,0,0,0,0
Colchester,East,England,Borough,79996,53545,112,24565,18888,9087,0,828,0,0,0,0,0,0,0,177
Colne Valley,Yorkshire and The Humber,England,County,84387,60420,158,27903,28818,2494,0,892,0,0,0,0,0,0,0,313
Congleton,North West,England,County,76694,56231,98,31830,19211,2902,1289,999,0,0,0,0,0,0,0,0
Copeland,North West,England,County,61751,42927,85,21062,19367,1404,1094,0,0,0,0,0,0,0,0,0
Corby,East Midlands,England,County,83020,59997,94,29534,26844,1545,1495,579,0,0,0,0,0,0,0,0
Coventry North East,West Midlands,England,Borough,75759,46508,128,13919,29499,1157,1350,502,0,0,0,0,0,0,0,81
Coventry North West,West Midlands,England,Borough,75196,49849,88,18314,26894,1286,1525,666,0,0,0,0,0,0,0,1164
Coventry South,West Midlands,England,Borough,70736,47009,114,17927,25874,1343,1037,604,0,0,0,0,0,0,0,224
Crawley,South East,England,Borough,73425,50273,181,25426,22969,1878,0,0,0,0,0,0,0,0,0,0
Crewe and Nantwich,North West,England,County,78895,55027,101,25880,25928,1334,1885,0,0,0,0,0,0,0,0,0
Croydon Central,London,England,Borough,80045,57091,109,24221,29873,1083,1040,626,0,0,0,0,0,0,0,248
Croydon North,London,England,Borough,87461,59623,131,11848,44213,1656,753,983,0,0,0,0,0,0,0,170
Croydon South,London,England,Borough,83518,61257,123,33334,21928,3541,1116,1125,0,0,0,0,0,0,0,213
"Cumbernauld, Kilsyth and Kirkintilloch East",Scotland,Scotland,County,66554,43833,50,8010,14858,1238,605,0,19122,0,0,0,0,0,0,0
Cynon Valley,Wales,Wales,County,51334,31802,71,6166,19404,585,1271,0,0,4376,0,0,0,0,0,0
Dagenham and Rainham,London,England,Borough,70616,45843,73,18306,22958,465,3246,544,0,0,0,0,0,0,0,324
Darlington,North East,England,Borough,66341,44817,79,19401,22681,1031,1180,524,0,0,0,0,0,0,0,0
Dartford,South East,England,County,78506,54224,117,31210,18024,1428,2544,807,0,0,0,0,0,0,0,211
Daventry,East Midlands,England,County,75268,55663,102,35464,13730,4015,1497,957,0,0,0,0,0,0,0,0
Delyn,Wales,Wales,County,54090,39418,69,16333,20573,1031,0,0,0,1481,0,0,0,0,0,0
Denton and Reddish,North West,England,Borough,65751,39599,72,11084,25161,853,1798,486,0,0,0,0,0,0,0,217
Derby North,East Midlands,England,Borough,69919,48672,109,21607,23622,2262,1181,0,0,0,0,0,0,0,0,0
Derbyshire Dales,East Midlands,England,County,64430,49571,151,29744,15417,3126,0,1002,0,0,0,0,0,0,0,282
Derby South,East Midlands,England,Borough,69918,45306,105,15182,26430,1229,2011,454,0,0,0,0,0,0,0,0
Devizes,South West,England,County,72184,50593,107,31744,10608,4706,1706,1606,0,0,0,0,0,0,0,223
Dewsbury,Yorkshire and The Humber,England,County,81343,56545,155,25493,28814,1214,0,1024,0,0,0,0,0,0,0,0
Doncaster Central,Yorkshire and The Humber,England,Borough,71718,43024,122,14784,24915,973,0,0,0,0,0,0,0,0,0,2352
Doncaster North,Yorkshire and The Humber,England,County,72377,42312,76,11687,25711,706,2738,0,0,0,0,0,0,0,0,1470
Don Valley,Yorkshire and The Humber,England,County,73990,45988,95,19182,24351,856,0,0,0,0,0,0,0,0,0,1599
Dover,South East,England,County,74564,51966,76,27211,20774,1336,1722,923,0,0,0,0,0,0,0,0
Dudley North,West Midlands,England,Borough,62043,38910,72,18068,18090,368,2144,240,0,0,0,0,0,0,0,0
Dudley South,West Midlands,England,Borough,61323,38244,51,21588,13858,625,1791,382,0,0,0,0,0,0,0,0
Dulwich and West Norwood,London,England,Borough,78037,56143,162,10940,39096,4475,0,1408,0,0,0,0,0,0,0,224
Dumfries and Galloway,Scotland,Scotland,County,74206,51599,45,22344,10775,1241,0,0,16701,0,0,0,0,0,0,538
"Dumfriesshire, Clydesdale and Tweeddale",Scotland,Scotland,County,67672,48964,60,24177,8102,1949,0,0,14736,0,0,0,0,0,0,0
Dundee East,Scotland,Scotland,Borough,65854,42928,57,11746,11176,1615,0,0,18391,0,0,0,0,0,0,0
Dundee West,Scotland,Scotland,Borough,62644,38677,99,6257,12783,1189,0,0,18045,0,0,0,0,0,0,403
Dunfermline and West Fife,Scotland,Scotland,County,75672,51010,73,12593,17277,3019,0,0,18121,0,0,0,0,0,0,0
Dwyfor Meirionnydd,Wales,Wales,County,44699,30348,67,8837,6273,937,614,0,0,13687,0,0,0,0,0,0
Ealing Central and Acton,London,England,Borough,74200,55342,191,19230,33037,3075,0,0,0,0,0,0,0,0,0,0
Ealing North,London,England,Borough,74764,52516,152,14942,34635,1275,921,743,0,0,0,0,0,0,0,0
"Ealing, Southall",London,England,Borough,65188,45145,173,9630,31720,1892,504,1037,0,0,0,0,0,0,0,362
Easington,North East,England,County,62385,36364,57,8260,23152,460,1727,410,0,0,0,0,0,0,0,2355
East Antrim,Northern Ireland,Northern Ireland,County,62908,38143,126,963,0,0,0,0,0,0,21873,3555,1278,4524,5950,0
Eastbourne,South East,England,Borough,78754,57420,91,25315,4671,26924,0,510,0,0,0,0,0,0,0,0
East Devon,South West,England,County,82369,60382,61,29306,6857,1468,1203,0,0,0,0,0,0,0,0,21548
East Dunbartonshire,Scotland,Scotland,County,66300,51801,68,7563,7531,21023,0,0,15684,0,0,0,0,0,0,0
East Ham,London,England,Borough,83928,56633,179,7241,47124,656,697,474,0,0,0,0,0,0,0,441
East Hampshire,South East,England,County,74151,55408,159,35263,9411,8403,0,1760,0,0,0,0,0,0,0,571
"East Kilbride, Strathaven and Lesmahagow",Scotland,Scotland,County,80442,54102,81,13704,17157,1590,628,0,21023,0,0,0,0,0,0,0
Eastleigh,South East,England,Borough,81212,57280,136,28889,11454,14710,1477,750,0,0,0,0,0,0,0,0
East Londonderry,Northern Ireland,Northern Ireland,County,67038,41030,124,330,0,0,0,0,0,0,19723,10881,4423,3135,2538,0
East Lothian,Scotland,Scotland,County,79093,55878,57,16540,20158,1738,0,0,17075,0,0,0,0,0,0,367
East Renfrewshire,Scotland,Scotland,County,70067,53738,67,21496,14346,1112,0,0,16784,0,0,0,0,0,0,0
East Surrey,South East,England,County,82004,59203,121,35310,11396,6197,2227,1100,0,0,0,0,0,0,0,2973
East Worthing and Shoreham,South East,England,County,75525,53117,70,25988,20882,2523,1444,1273,0,0,0,0,0,0,0,1007
East Yorkshire,Yorkshire and The Humber,England,County,81065,53956,97,31442,16436,2134,1986,943,0,0,0,0,0,0,0,1015
Eddisbury,North West,England,County,70272,51319,85,29192,17250,2804,1109,785,0,0,0,0,0,0,0,179
Edinburgh East,Scotland,Scotland,Borough,65896,43523,100,8081,15084,1849,0,0,18509,0,0,0,0,0,0,0
Edinburgh North and Leith,Scotland,Scotland,Borough,79473,56552,72,15385,17618,2579,0,1727,19243,0,0,0,0,0,0,0
Edinburgh South,Scotland,Scotland,Borough,64553,47840,73,9428,26269,1388,0,0,10755,0,0,0,0,0,0,0
Edinburgh South West,Scotland,Scotland,Borough,71178,49390,74,16478,13213,2124,0,0,17575,0,0,0,0,0,0,0
Edinburgh West,Scotland,Scotland,Borough,71500,52795,71,11559,7876,18108,0,0,15120,0,0,0,0,0,0,132
Edmonton,London,England,Borough,65777,43678,113,10106,31221,858,860,633,0,0,0,0,0,0,0,0
Ellesmere Port and Neston,North West,England,County,68666,50939,69,18747,30137,892,821,342,0,0,0,0,0,0,0,0
Elmet and Rothwell,Yorkshire and The Humber,England,County,80291,59542,134,32352,22547,2606,0,995,0,0,0,0,0,0,0,1042
Eltham,London,England,Borough,64474,46155,150,18832,25128,1457,0,0,0,0,0,0,0,0,0,738
Enfield North,London,England,Borough,68076,48565,125,17930,28177,1036,848,574,0,0,0,0,0,0,0,0
"Enfield, Southgate",London,England,Borough,65210,48328,158,20634,24989,1925,0,780,0,0,0,0,0,0,0,0
Epping Forest,East,England,County,74737,50779,130,31462,13219,2884,1871,1233,0,0,0,0,0,0,0,110
